iter	Passed	Remaining
0	144	144372
1	145	72399
2	145	48387
3	146	36384
4	146	29187
5	147	24385
6	147	20956
7	148	18382
8	148	16378
9	149	14777
10	149	13465
11	150	12371
12	150	11447
13	151	10656
14	151	9969
15	152	9370
16	152	8839
17	153	8367
18	153	7944
19	154	7564
20	154	7220
21	155	6908
22	155	6623
23	156	6361
24	156	6119
25	157	5897
26	157	5691
27	158	5500
28	158	5321
29	159	5155
30	159	5000
31	160	4854
32	161	4718
33	161	4588
34	162	4467
35	162	4354
36	163	4246
37	163	4142
38	164	4044
39	164	3951
40	165	3862
41	165	3779
42	166	3698
43	166	3621
44	167	3547
45	167	3477
46	168	3410
47	168	3345
48	169	3284
49	169	3225
50	170	3167
51	170	3112
52	171	3059
53	171	3008
54	172	2959
55	172	2911
56	173	2865
57	173	2821
58	174	2780
59	174	2738
60	175	2698
61	175	2659
62	176	2622
63	176	2585
64	177	2550
65	177	2517
66	178	2483
67	178	2448
68	179	2416
69	179	2386
70	180	2356
71	180	2327
72	181	2299
73	181	2272
74	182	2245
75	182	2218
76	182	2193
77	183	2168
78	184	2145
79	184	2122
80	185	2099
81	185	2077
82	186	2056
83	186	2034
84	186	2012
85	187	1992
86	187	1971
87	188	1951
88	188	1932
89	189	1914
90	189	1895
91	190	1878
92	190	1860
93	191	1843
94	191	1826
95	192	1810
96	192	1794
97	193	1778
98	193	1763
99	194	1748
100	194	1733
101	195	1717
102	195	1703
103	196	1689
104	196	1675
105	197	1661
106	197	1648
107	198	1635
108	198	1622
109	199	1610
110	199	1597
111	199	1585
112	200	1573
113	200	1561
114	201	1550
115	201	1538
116	202	1527
117	202	1516
118	203	1505
119	203	1494
120	204	1484
121	204	1473
122	205	1462
123	205	1452
124	206	1442
125	206	1432
126	207	1423
127	207	1413
128	207	1403
129	208	1394
130	208	1386
131	209	1377
132	209	1368
133	210	1360
134	210	1351
135	211	1343
136	211	1335
137	212	1326
138	212	1318
139	213	1310
140	213	1303
141	214	1295
142	214	1287
143	215	1280
144	215	1273
145	216	1266
146	216	1258
147	217	1251
148	217	1244
149	218	1237
150	218	1230
151	219	1223
152	219	1217
153	220	1210
154	220	1204
155	221	1197
156	221	1191
157	222	1185
158	222	1179
159	223	1172
160	223	1166
161	224	1160
162	224	1154
163	225	1149
164	225	1143
165	226	1137
166	226	1131
167	227	1125
168	227	1120
169	228	1115
170	228	1109
171	229	1104
172	230	1099
173	230	1094
174	231	1090
175	231	1085
176	232	1079
177	232	1074
178	233	1069
179	233	1064
180	234	1058
181	234	1053
182	234	1049
183	235	1044
184	235	1039
185	236	1034
186	236	1030
187	237	1025
188	237	1020
189	238	1016
190	238	1011
191	239	1007
192	239	1003
193	240	998
194	240	994
195	241	990
196	241	986
197	242	981
198	242	977
199	243	973
200	243	969
201	244	965
202	244	961
203	245	957
204	245	953
205	246	949
206	246	945
207	247	941
208	247	938
209	248	934
210	248	930
211	249	926
212	249	923
213	250	919
214	250	915
215	251	912
216	251	908
217	252	905
218	252	901
219	253	898
220	253	894
221	254	891
222	254	887
223	255	884
224	255	880
225	256	877
226	256	874
227	257	870
228	257	868
229	258	865
230	258	862
231	259	858
232	259	855
233	260	852
234	261	849
235	261	846
236	261	843
237	262	840
238	262	837
239	263	834
240	263	831
241	264	828
242	264	825
243	265	822
244	265	819
245	266	816
246	266	813
247	267	810
248	267	807
249	268	804
250	268	802
251	269	799
252	269	796
253	270	793
254	270	790
255	271	788
256	271	785
257	272	782
258	272	780
259	273	777
260	273	775
261	274	772
262	274	769
263	275	767
264	275	764
265	276	762
266	276	759
267	277	757
268	277	754
269	278	752
270	278	749
271	279	747
272	279	744
273	280	742
274	280	739
275	281	737
276	281	734
277	282	732
278	282	730
279	283	727
280	283	725
281	284	723
282	284	721
283	285	718
284	285	716
285	286	714
286	286	712
287	287	709
288	287	707
289	288	705
290	288	703
291	289	700
292	289	698
293	290	696
294	290	694
295	291	692
296	291	690
297	292	687
298	292	685
299	293	683
300	293	681
301	294	679
302	294	677
303	295	675
304	295	673
305	295	671
306	296	669
307	297	667
308	297	665
309	297	663
310	298	661
311	298	659
312	299	657
313	299	655
314	300	653
315	300	651
316	301	649
317	301	647
318	302	645
319	302	643
320	303	641
321	303	639
322	304	638
323	304	636
324	305	634
325	305	632
326	306	630
327	306	628
328	307	626
329	307	625
330	308	623
331	308	621
332	309	619
333	309	617
334	310	616
